feature1,feature2,target
3.909512204510965,2.189628273522707,1
-2.151410262704467,9.575070654566558,0
-8.583009630506425,-6.935657292172565,2
-2.496195731174843,10.46782020535564,0
4.884845407336824,1.4662265085696022,1
-8.507169629034433,-6.832024646614564,2
5.2639986532802565,2.601515193205012,1
-2.2325068237227312,9.841469377234347,0
-6.780294885722045,-6.128722469904158,2
-6.1680123130623805,-8.004751685113815,2
4.324609591587755,2.732138904433999,1
-3.571501336778855,9.487878558833504,0
-3.5800901211138623,9.496758543441508,0
6.272290140159736,0.5430283059800993,1
3.9780923714597134,2.825603018736956,1
3.847358097795401,1.858433242473833,1
-2.978672008987702,9.556846171784288,0
-2.4121200737047097,9.982931118731212,0
-3.053580347577933,9.125208717908189,0
-7.947247620533864,-7.02248907829724,2
-2.4174368465172478,7.026717213597431,0
-6.802258883503652,-7.74139379460421,2
-5.711845129491463,-6.625688749974733,2
-6.619904689429788,-7.784426218380355,2
3.0454511774337343,1.3737946609869591,1
-7.916873345477726,-7.070448271359555,2
5.452740955067061,2.602798525864344,1
5.803042588383061,1.983402744960319,1
6.783822925553427,2.607088706258743,1
-7.865353237486814,-6.376063077758102,2
5.154926522534149,5.825901174595453,1
3.800156994047325,1.3737770384967098,1
5.210769346921269,3.108735324121331,1
-2.4489674131117236,11.47752824068361,0
-7.393494108487964,-7.939323115164898,2
6.95453740290161,0.10590449134898372,1
-6.986657551105828,-7.915351915695321,2
-7.007544782632037,-7.835650033876372,2
3.319645629207459,3.8046284497950857,1
3.191794494730777,0.5657059095641768,1
-7.1495021264446414,-7.858873309058254,2
-3.317691225945938,8.512529084613787,0
-1.9872560574358524,9.31127080143151,0
2.9267443071372234,3.3270420581061453,1
-3.6155325970587784,7.8180795041176525,0
4.7375549347769335,1.2001599000852656,1
3.439582429172325,1.6386684480997835,1
5.5121994729487795,2.1565116896790837,1
6.762035033240735,3.005634944491879,1
-1.686652710949561,7.793442478227301,0
4.838938531801571,1.3729528067819374,1
-2.422150554814579,8.715278777732456,0
-2.773854456290706,11.734455294787942,0
5.159225350469273,3.5059085969433097,1
-2.409546257965109,8.510810474082124,0
-2.7326604083786012,9.728286622290415,0
-3.186119623358709,9.625962417039192,0
-2.9013057761849077,7.550771180066205,0
-3.3987120526782735,8.198475843232885,0
-2.1779341916491863,9.989831255320683,0
-2.7015585878338726,9.315833470531937,0
-2.2587047727068734,9.360734337695298,0
-8.184096691656123,-6.210437044445908,2
-6.241034732373896,-8.541629655544906,2
3.8670536216905296,1.7363510772007231,1
5.330022827939214,1.5719492120548957,1
-7.635977936435573,-8.302363302873621,2
3.7414641648797433,2.4650888554472377,1
-3.4838792932800717,9.801370731940775,0
-6.043935079086128,-8.009816447933565,2
3.378994881893056,2.891031630995508,1
-3.393055059253883,9.16801123414385,0
-2.300334028047995,7.0546160043185475,0
-2.281737688448621,10.32142888248075,0
4.627632063381187,1.0759153124549004,1
-4.818879266269283,-5.124768750832742,2
-6.541130783656856,-7.295397507176748,2
6.829681769445774,1.1648713985855805,1
-1.3663748085377296,9.766219160885097,0
-6.887599832467887,-5.40016545438592,2
-7.433276496498452,-8.077987485864796,2
4.73687480122082,2.5683267093776454,1
4.645122535946284,2.020150277705474,1
-2.251647232329986,8.939840212432156,0
-3.8868669910098412,8.076461088283201,0
-5.356503113881613,-6.341199549591288,2
4.387310684834941,0.7253865019758825,1
-7.456398521719603,-6.124718367450191,2
-2.728869510890262,9.37139869971007,0
-2.7545857390556208,8.260549963840834,0
-1.7707310430573397,9.185654409388293,0
-7.338988090691514,-7.729953962740739,2
5.387172441351363,2.583539949374197,1
4.167946970438668,3.0621202809080983,1
4.164933525067145,1.31984045136702,1
-2.216125149754069,8.299934710171955,0
-6.552699817387108,-7.099210122084811,2
-3.4286218572865534,10.564220533215863,0
-7.642886347693787,-8.684991693940466,2
-6.122638574505919,-7.802274917453572,2
6.772912210884368,0.021081884418230112,1
-3.4172216985739614,7.601982426863032,0
-7.53146329895343,-6.832710921959532,2
3.81765844066167,2.2168568954326444,1
5.797989709728169,2.7648323779036676,1
4.996894322193149,1.2802600886800777,1
3.810883825306029,1.4129886437437622,1
4.70968092121812,1.587856087078972,1
3.8216581529946287,4.065556959626193,1
-7.154678888302914,-9.182030758011532,2
-8.917751726329124,-7.888195904193351,2
-1.106403312116651,7.612435065406043,0
-6.049291374607025,-7.736193419184814,2
-1.6966718006585522,10.370526156769147,0
-5.328475215628747,-6.764434958983088,2
-2.147561598005116,8.369166373593199,0
4.7041588553235645,0.8954249060114259,1
-2.5040841664102893,8.779698994823177,0
5.539478711661352,2.2804692048173414,1
5.144866115208559,2.8389248781108534,1
-5.842087246893371,-7.390125992130693,2
-2.185113653657955,8.629203847782007,0
-2.9883718608980403,8.828627151534507,0
5.9453576433824304,1.9941735255734911,1
5.465295185216132,2.7866793199413706,1
-7.1285913396303435,-5.9085386423215915,2
-2.5439093927579934,7.845608090578791,0
-3.3559913411211553,7.499438903512459,0
4.621365700235711,1.684511045020594,1
5.906789985414724,1.2655002183219513,1
-6.303070228095503,-6.56885943873241,2
-5.8733343819368296,-7.457001462799095,2
-6.246845325044985,-4.609416735471551,2
-8.413741361886892,-5.602432771377438,2
-6.9919552408421,-7.101079192809169,2
-1.4781981005567992,9.945566247314522,0
5.326139026602615,0.3604538127510801,1
-2.581207744633084,10.017819026090347,0
-7.526200075393797,-7.961657596890342,2
